name;rating;genre;year;votes;director;writer;star;country;budget;gross;company;;
Harry Potter and the Goblet of Fire;PG-13;Adventure;2005;566000.0;Mike Newell;Steve Kloves;Daniel Radcliffe;United Kingdom;150000000.0;896678241.0;Warner Bros.;;
The 40-Year-Old Virgin;R;Comedy;2005;407000.0;Judd Apatow;Judd Apatow;Steve Carell;United States;26000000.0;177378645.0;Universal Pictures;;
Memoirs of a Geisha;PG-13;Drama;2005;141000.0;Rob Marshall;Robin Swicord;Ziyi Zhang;France;85000000.0;162242962.0;Columbia Pictures;;
Pride & Prejudice;PG;Drama;2005;269000.0;Joe Wright;Deborah Moggach;Keira Knightley;France;28000000.0;121616555.0;Focus Features;;
Batman Begins;PG-13;Action;2005;1300000.0;Christopher Nolan;Bob Kane;Christian Bale;United Kingdom;150000000.0;373661946.0;Warner Bros.;;
The Descent;R;Adventure;2005;207000.0;Neil Marshall;Neil Marshall;Shauna Macdonald;United Kingdom;;57130027.0;Celador Films;;
Brokeback Mountain;R;Drama;2005;333000.0;Ang Lee;Annie Proulx;Jake Gyllenhaal;United States;14000000.0;178062759.0;Focus Features;;
Sin City;R;Crime;2005;745000.0;Frank Miller;Frank Miller;Mickey Rourke;United States;40000000.0;158733820.0;Dimension Films;;
V for Vendetta;R;Action;2005;1100000.0;James McTeigue;Lilly Wachowski;Hugo Weaving;United States;54000000.0;132511035.0;Warner Bros.;;
Wedding Crashers;R;Comedy;2005;339000.0;David Dobkin;Steve Faber;Owen Wilson;United States;40000000.0;288467645.0;New Line Cinema;;
War of the Worlds;PG-13;Adventure;2005;424000.0;Steven Spielberg;Josh Friedman;Tom Cruise;United States;132000000.0;603873119.0;Paramount Pictures;;
Kingdom of Heaven;R;Action;2005;272000.0;Ridley Scott;William Monahan;Orlando Bloom;United Kingdom;130000000.0;218122627.0;Twentieth Century Fox;;
Constantine;R;Action;2005;317000.0;Francis Lawrence;Jamie Delano;Keanu Reeves;United States;100000000.0;230884728.0;Warner Bros.;;
Star Wars: Episode III - Revenge of the Sith;PG-13;Action;2005;729000.0;George Lucas;George Lucas;Hayden Christensen;United States;113000000.0;868390560.0;Lucasfilm;;
King Kong;PG-13;Action;2005;403000.0;Peter Jackson;Fran Walsh;Naomi Watts;United States;207000000.0;562363449.0;Universal Pictures;;
The Hitchhiker's Guide to the Galaxy;PG;Adventure;2005;190000.0;Garth Jennings;Douglas Adams;Martin Freeman;United Kingdom;50000000.0;104478416.0;Touchstone Pictures;;
Fantastic Four;PG-13;Action;2005;316000.0;Tim Story;Mark Frost;Ioan Gruffudd;United States;100000000.0;333535934.0;Twentieth Century Fox;;
Fantastic Four;PG-13;Action;2015;156000.0;Josh Trank;Jeremy Slater;Miles Teller;United States;120000000.0;167882881.0;Twentieth Century Fox;;
Green Street Hooligans;R;Crime;2005;144000.0;Lexi Alexander;Lexi Alexander;Elijah Wood;United Kingdom;;3814717.0;Baker Street;;
Serenity;PG-13;Action;2005;287000.0;Joss Whedon;Joss Whedon;Nathan Fillion;United States;39000000.0;40445129.0;Universal Pictures;;
Serenity;R;Drama;2019;38000.0;Steven Knight;Steven Knight;Matthew McConaughey;United Kingdom;25000000.0;14454622.0;Blue Budgie Films Limited;;
Mr. & Mrs. Smith;PG-13;Action;2005;461000.0;Doug Liman;Simon Kinberg;Brad Pitt;United States;110000000.0;487287646.0;New Regency Productions;;
The Island;R;Action;1980;3900.0;Michael Ritchie;Peter Benchley;Michael Caine;United States;22000000.0;15716828.0;Universal Pictures;;
The Island;PG-13;Action;2005;304000.0;Michael Bay;Caspian Tredwell-Owen;Scarlett Johansson;United States;126000000.0;162949164.0;Dreamworks Pictures;;
Waiting...;R;Comedy;2005;93000.0;Rob McKittrick;Rob McKittrick;Ryan Reynolds;United States;3000000.0;18637690.0;Eden Rock Media;;
Match Point;R;Drama;2005;209000.0;Woody Allen;Woody Allen;Scarlett Johansson;United Kingdom;15000000.0;85638656.0;BBC Films;;
Hostel;R;Horror;2005;172000.0;Eli Roth;Eli Roth;Jay Hernandez;United States;4800000.0;81979826.0;Next Entertainment;;
Assault on Precinct 13;R;Action;2005;75000.0;Jean-Fran��ois Richet;John Carpenter;Ethan Hawke;France;30000000.0;35294470.0;Rogue Pictures;;
Hard Candy;R;Drama;2005;156000.0;David Slade;Brian Nelson;Patrick Wilson;United States;950000.0;7022209.0;Lions Gate Films;;
The Sisterhood of the Traveling Pants;PG;Comedy;2005;56000.0;Ken Kwapis;Ann Brashares;Amber Tamblyn;United States;25000000.0;42013878.0;Alcon Entertainment;;
The Longest Yard;PG-13;Comedy;2005;167000.0;Peter Segal;Albert S. Ruddy;Adam Sandler;United States;82000000.0;191466556.0;Paramount Pictures;;
Red Eye;PG-13;Thriller;2005;115000.0;Wes Craven;Carl Ellsworth;Rachel McAdams;United States;26000000.0;96258201.0;Dreamworks Pictures;;
House of Wax;R;Horror;2005;118000.0;Jaume Collet-Serra;Charles Belden;Chad Michael Murray;Australia;40000000.0;68766121.0;Warner Bros.;;
Four Brothers;R;Action;2005;138000.0;John Singleton;David Elliot;Mark Wahlberg;United States;45000000.0;92374674.0;Paramount Pictures;;
The Dukes of Hazzard;PG-13;Comedy;2005;76000.0;Jay Chandrasekhar;Gy Waldron;Seann William Scott;United States;50000000.0;111069515.0;Warner Bros.;;
The Interpreter;PG-13;Crime;2005;101000.0;Sydney Pollack;Martin Stellman;Nicole Kidman;United Kingdom;80000000.0;162944923.0;Universal Pictures;;
Walk the Line;PG-13;Biography;2005;239000.0;James Mangold;Johnny Cash;Joaquin Phoenix;United States;28000000.0;186797986.0;Fox 2000 Pictures;;
Lords of Dogtown;PG-13;Biography;2005;53000.0;Catherine Hardwicke;Stacy Peralta;Heath Ledger;United States;25000000.0;13411957.0;Columbia Pictures;;
Munich;R;Action;2005;216000.0;Steven Spielberg;Tony Kushner;Eric Bana;United States;70000000.0;130982129.0;Dreamworks Pictures;;
Kiss Kiss Bang Bang;R;Comedy;2005;219000.0;Shane Black;Brett Halliday;Robert Downey Jr.;United States;15000000.0;15785148.0;Warner Bros.;;
The Constant Gardener;R;Drama;2005;135000.0;Fernando Meirelles;Jeffrey Caine;Ralph Fiennes;United Kingdom;25000000.0;82468097.0;Focus Features;;
The Pacifier;PG;Action;2005;90000.0;Adam Shankman;Thomas Lennon;Vin Diesel;Canada;56000000.0;198636868.0;Walt Disney Pictures;;
A History of Violence;R;Drama;2005;228000.0;David Cronenberg;John Wagner;Viggo Mortensen;Canada;32000000.0;61385065.0;New Line Cinema;;
The Devil's Rejects;R;Horror;2005;95000.0;Rob Zombie;Rob Zombie;Sid Haig;United States;7000000.0;20901859.0;Lions Gate Films;;
Hitch;PG-13;Comedy;2005;301000.0;Andy Tennant;Kevin Bisch;Will Smith;United States;70000000.0;371594210.0;Columbia Pictures;;
Mirrormask;PG;Adventure;2005;22000.0;Dave McKean;Neil Gaiman;Stephanie Leonidas;United Kingdom;4000000.0;866999.0;Destination Films;;
Rent;PG-13;Drama;2005;49000.0;Chris Columbus;Stephen Chbosky;Taye Diggs;United States;40000000.0;31670620.0;Rent Productions LLC;;
Robots;PG;Animation;2005;137000.0;Chris Wedge;Ron Mita;Ewan McGregor;United States;75000000.0;262511490.0;Twentieth Century Fox Animation;;
Jarhead;R;Action;2005;179000.0;Sam Mendes;William Broyles Jr.;Jake Gyllenhaal;United States;72000000.0;97076152.0;Universal Pictures;;
Into the Blue;PG-13;Action;2005;74000.0;John Stockwell;Matt Johnson;Paul Walker;United States;50000000.0;46117696.0;Columbia Pictures;;
